f,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
163712768.06046274,3.0851517315990016,3.0942920835987584,3.103234559998463,3.1124722083980303,3.1213702275970188,3.1306348095927796,3.1399131203649677,3.148885739831787,3.157764537842799,3.167154104960706,3.1760228598666997,3.1850462945758387,3.50967406192e-06,3.9197837604e-06,4.36806336e-06,4.9521302556e-06,6.1020019468e-06,9.5082929296e-06,2.09758841292e-05,5.8123010343999995e-05,0.00016885149019999998,0.0004713794548,0.0012333299870000002,0.00301672407318
165163078.12663555,3.085151731598984,3.094292083598736,3.103234559998436,3.1124722083979974,3.1213702275969792,3.1306348095927485,3.139913120365196,3.14888573983528,3.1577645378783097,3.1671541052545322,3.1760228619201283,3.185046306945918,3.5407423264e-06,3.9544724236e-06,4.406325312000001e-06,4.993377719200001e-06,6.142142279600001e-06,9.528640569599997e-06,2.0907485701199998e-05,5.774326520399999e-05,0.00016751802189599995,0.00046741439460000006,0.0012227084326,0.00299048942418
166625421.29835483,3.085151731598966,3.0942920835987135,3.1032345599984086,3.112472208397964,3.1213702275969393,3.1306348095927166,3.139913120365418,3.1488857398387116,3.157764537913202,3.1671541055432724,3.1760228639381123,3.185046319098325,3.572112702e-06,3.9894425364e-06,4.444974816e-06,5.0350485955999995e-06,6.18270663e-06,9.549731340799999e-06,2.0840717494799997e-05,5.7367778888e-05,0.00016619734806399997,0.0004634849274,0.00121217954948,0.00296449035162
168100693.61504084,3.0851517315989474,3.094292083598691,3.1032345599983806,3.11247220839793,3.1213702275968984,3.1306348095926833,3.139913120365634,3.148885739842082,3.1577645379474846,3.1671541058269925,3.1760228659204373,3.1850463310408843,3.6037289819999994e-06,4.024729279999999e-06,4.483941408e-06,5.0771076004e-06,6.223801002400001e-06,9.571565243199997e-06,2.0775579510000002e-05,5.6996551396e-05,0.000164889468704,0.0004595910532,0.0012017469019200001,0.0029387161474799996
169589850.3747702,3.0851517315989287,3.094292083598668,3.1032345599983517,3.112472208397895,3.1213702275968567,3.1306348095926486,3.1399131203658435,3.1488857398453893,3.1577645379811554,3.1671541061057584,3.176022867868247,3.1850463427730604,3.6356614248e-06,4.060297473199999e-06,4.5232603200000004e-06,5.1195547336e-06,6.265354727200001e-06,9.5941422768e-06,2.0712036307199998e-05,5.662993763e-05,0.00016359473921799997,0.000455732772,0.00119140692564,0.00291317395044
171091955.964685,3.0851517315989097,3.094292083598644,3.103234559998323,3.1124722083978598,3.1213702275968145,3.1306348095926126,3.1399131203660473,3.1488857398486343,3.157764538014241,3.167154106379381,3.1760228697819937,3.185046354299262,3.6678397719999993e-06,4.096217478399999e-06,4.562966784e-06,5.1623899952e-06,6.3073678044e-06,9.617497828799998e-06,2.0650123325999997e-05,5.626793759e-05,0.00016231244880199997,0.00045191364310000003,0.00118115962064,0.0028878601911599996
172606994.27123815,3.0851517315988906,3.09429208359862,3.103234559998293,3.112472208397824,3.1213702275967714,3.130634809592576,3.139913120366246,3.14888573985182,3.157764538046749,3.1671541066484346,3.1760228716621257,3.185046365627026,3.700334281999999e-06,4.1324541143999995e-06,4.602990336e-06,5.2056486696e-06,6.3499109036e-06,9.641561124799999e-06,2.0589769687199998e-05,5.5910196373999986e-05,0.00016104259745599998,0.00044812654789999997,0.0011710049869200002,0.0028627641616199998
174134942.2923891,3.0851517315988706,3.0942920835985954,3.1032345599982634,3.112472208397787,3.1213702275967274,3.1306348095925376,3.139913120366438,3.148885739854952,3.1577645380786783,3.1671541069129767,3.1760228735097393,3.185046376755744,3.7330746964e-06,4.1690073812e-06,4.643366207999999e-06,5.2493307568000015e-06,6.392948690000001e-06,9.666367552e-06,2.053104627e-05,5.5556359079999995e-05,0.00015978554058199997,0.00044437148639999997,0.0011609394602,0.0028378930005
175677828.7596177,3.0851517315988506,3.0942920835985706,3.1032345599982327,3.1124722083977496,3.1213702275966826,3.130634809592498,3.139913120366624,3.1488857398580197,3.157764538110045,3.1671541071725695,3.1760228753246116,3.1850463876864747,3.7661312735999997e-06,4.2058772787999995e-06,4.6841296320000005e-06,5.293365688000001e-06,6.4364458288e-06,9.691952497599998e-06,2.0473953074400002e-05,5.5207490414e-05,0.000158540922778,0.0004406555772,0.00115096660476,0.00281325027714
177233630.3066491,3.08515173159883,3.0942920835985452,3.1032345599982016,3.112472208397712,3.1213702275966373,3.130634809592457,3.1399131203668054,3.148885739861034,3.157764538140857,3.1671541074277725,3.17602287710782,3.1850463984296815,3.799504013599999e-06,4.2430989884000005e-06,4.725245376e-06,5.337859316400001e-06,6.480472989600001e-06,9.7182805744e-06,2.0418419221199997e-05,5.4862525669999985e-05,0.000157308744044,0.0004369717017,0.00114108285632,0.00278881814484
